 DATE, TIME,NUMBER CALLED, TYPE,red text?
01/04/2002,Friday,(509) 575-3571,Probation,0
01/04/2002,Friday,(509) 575-6091,Human Services (Personnel),0
01/04/2002,Friday,(509) 575-6184,City Attorney,0
01/04/2002,Friday,(509) 965-2405,Private Alderwood Phone Number 20,0
01/04/2002,Friday,(509) 965-2405,Private Alderwood Phone Number 20,0
01/06/2002,Sunday,41 041 410 67 08,,1
01/07/2002,Monday,(509) 575-5111,Receptionist/Information,0
01/07/2002,Monday,(509) 965-4951,Starbuck's Coffee Shop 3,0
01/07/2002,Monday,(509) 575-6038,City Clerk,0
01/07/2002,Monday,(509) 575-5111,Receptionist/Information,0
01/07/2002,Monday,(509) 575-6091,Human Services (Personnel),0
01/07/2002,Monday,(509) 575-5111,Receptionist/Information,0
01/07/2002,Monday,(509) 575-6091,Human Services (Personnel),0
01/07/2002,Monday,(509) 248-3854,Arctic Circle 1,0
01/07/2002,Monday,(509) 575-6091,Human Services (Personnel),0
01/07/2002,Monday,(509) 575-5111,Receptionist/Information,0
01/07/2002,Monday,(509) 575-6091,Human Services (Personnel),0
01/07/2002,Monday,(509) 575-6184,City Attorney,0
01/07/2002,Monday,(509) 575-6184,City Attorney,0
01/08/2002,Tuesday,(509) 965-4951,Starbuck's Coffee Shop 3,0
01/08/2002,Tuesday,(509) 575-5111,Receptionist/Information,0
01/08/2002,Tuesday,(509) 575-6091,Human Services (Personnel),0
01/08/2002,Tuesday,(509) 575-6184,City Attorney,0
01/08/2002,Tuesday,(509) 575-6091,Human Services (Personnel),0
01/08/2002,Tuesday,(509) 575-6184,City Attorney,0
01/08/2002,Tuesday,(509) 575-6091,Human Services (Personnel),0
01/09/2002,Wednesday,(509) 575-6201,Police Patrol,0
01/10/2002,Thursday,(509) 575-6184,City Attorney,0
01/10/2002,Thursday,(509) 453-5589,Crossroads Donuts,0
01/11/2002,Friday,(509) 575-3571,Probation,0
01/11/2002,Friday,(509) 575-5111,Receptionist/Information,0
01/11/2002,Friday,(509) 575-6021,Parks and Recreation,0
01/12/2002,Saturday,41 041 242 16 16,,1
01/14/2002,Monday,(509) 453-3806,Private Alderwood Phone Number 19,0
01/15/2002,Tuesday,(509) 575-5111,Receptionist/Information,0
01/15/2002,Tuesday,(509) 575-5111,Receptionist/Information,0
01/15/2002,Tuesday,(509) 575-6114,Community and Economic Development,0
01/15/2002,Tuesday,(509) 575-6184,City Attorney,0
01/15/2002,Tuesday,(509) 575-6184,City Attorney,0
01/15/2002,Tuesday,(509) 575-6041,City Manager,0
01/15/2002,Tuesday,(509) 575-5111,Receptionist/Information,0
01/15/2002,Tuesday,(509) 966-1399,Lance's Legendary Pizza Restaurant,0
01/15/2002,Tuesday,(509) 966-1399,Lance's Legendary Pizza Restaurant,0
01/15/2002,Tuesday,(509) 575-6094,Purchasing,0
